name,value,group,weight
h_sv3210,359.601,head,0.0906575
h_sv3214,168.124,head,0.0906575
h_sv3239,404.142,head,0.0906575
h_sv3265,363.973,head,0.0906575
h_sv3303,405.779,head,0.0906575
h_sv3304,356.559,head,0.0906575
h_sv3324,371.948,head,0.0906575
h_sv3347,461.436,head,0.0906575
h_sv3358,322.13,head,0.0906575
h_sv3391,333.882,head,0.0906575
h_sv3398,290.674,head,0.0906575
h_sv3417,456.532,head,0.0906575
h_sv3423,278.124,head,0.0906575
h_sv3434,321.492,head,0.0906575
h_sv3438,268.804,head,0.0906575
h_sv3515,391.284,head,0.0906575
h_sv3518,309.107,head,0.0906575
h_sv3541,407.445,head,0.0906575
h_sv3547,368.369,head,0.0906575
h_sv3571,388.948,head,0.0906575
h_sv3577,445.072,head,0.0906575
h_sv3596,361.757,head,0.0906575
h_sv3625,364.084,head,0.0906575
h_sv3636,326.036,head,0.0906575
h_sv3639,393.973,head,0.0906575
h_sv3654,241.013,head,0.0906575
h_sv3667,317.436,head,0.0906575
h_sv3675,332.46,head,0.0906575
h_sv3681,398.68,head,0.0906575
h_sv3703,279.907,head,0.0906575
h_sv3710,295.634,head,0.0906575
h_sv3724,427.87,head,0.0906575
h_sv3748,435.553,head,0.0906575
h_sv3756,343.744,head,0.0906575
h_sv3817,375.213,head,0.0906575
h_sv3854,368.102,head,0.0906575
h_sv3889,432.208,head,0.0906575
h_sv3903,422.764,head,0.0906575
h_sv3925,414.937,head,0.0906575
h_sv3943,276.37,head,0.0906575
h_sv3946,387.333,head,0.0906575
h_sv3967,396.189,head,0.0906575
h_sv3980,439.433,head,0.0906575
h_sv3982,467.374,head,0.0906575
h_sv3983,163.398,head,0.0906575
h_sv3991,160.722,head,0.0906575
h_sv3996,379.881,head,0.0906575
h_sv3997,396.995,head,0.0906575
h_sv4015,378.827,head,0.0906575
h_sv4022,465.909,head,0.0906575
h_sv4059,361.993,head,0.0906575
h_sv4069,453.604,head,0.0906575
h_sv4122,159.249,head,0.0906575
h_sv4131,347.425,head,0.0906575
h_sv4164,463.322,head,0.0906575
h_sv4177,380.172,head,0.0906575
h_sv4178,367.191,head,0.0906575
h_sv4179,394.17,head,0.0906575
h_sv4193,407.724,head,0.0906575
h_sv4215,428.077,head,0.0906575
h_sv4220,90.7159,head,0.0906575
h_sv4221,443.164,head,0.0906575
h_sv4222,328.651,head,0.0906575
h_sv4240,309.017,head,0.0906575
h_sv4247,446.456,head,0.0906575
h_sv4254,344.142,head,0.0906575
h_sv4257,393.646,head,0.0906575
h_sv4291,310.384,head,0.0906575
h_sv4318,265.946,head,0.0906575
h_sv4343,456.554,head,0.0906575
h_sv4351,380.815,head,0.0906575
h_sv4353,426.899,head,0.0906575
h_sv4368,349.332,head,0.0906575
h_sv4370,359.366,head,0.0906575
h_sv4395,457.127,head,0.0906575
h_sv4409,450.567,head,0.0906575
h_sv4413,312.587,head,0.0906575
h_sv4415,357.651,head,0.0906575
h_sv4417,402.459,head,0.0906575
h_sv4429,323.014,head,0.0906575
h_sv4435,156.756,head,0.0906575
h_sv4460,413.576,head,0.0906575
h_sv4470,452.743,head,0.0906575
h_sv4479,411.493,head,0.0906575
h_sv4489,417.671,head,0.0906575
h_sv4495,431.586,head,0.0906575
h_sv4508,401.039,head,0.0906575
h_sv4509,276.314,head,0.0906575
h_sv4550,394.4,head,0.0906575
h_sv4615,442.843,head,0.0906575
h_sv4651,382.921,head,0.0906575
h_sv4658,431.587,head,0.0906575
h_sv700,391.896,head,0.0906575
h_sv722,328.156,head,0.0906575
h_sv731,388.415,head,0.0906575
h_sv740,335.915,head,0.0906575
h_sv748,345.735,head,0.0906575
h_sv759,395.259,head,0.0906575
h_sv760,268.012,head,0.0906575
h_sv772,160.465,head,0.0906575
h_sv783,301.857,head,0.0906575
h_sv793,451.54,head,0.0906575
h_sv809,282.631,head,0.0906575
h_sv810,350.905,head,0.0906575
h_sv835,323.14,head,0.0906575
h_sv851,318.481,head,0.0906575
h_sv852,380.287,head,0.0906575
h_sv867,393.589,head,0.0906575
h_sv869,360.188,head,0.0906575
h_sv898,426.97,head,0.0906575
h_sv905,312.613,head,0.0906575
h_sv907,313.864,head,0.0906575
h_sv913,162.044,head,0.0906575
h_sv920,404.273,head,0.0906575
h_sv923,374.647,head,0.0906575
h_sv931,417.028,head,0.0906575
h_sv937,457.517,head,0.0906575
h_sv943,344.501,head,0.0906575
h_sv946,366.726,head,0.0906575
h_sv949,333.222,head,0.0906575
h_sv953,158.164,head,0.0906575
h_sv967,457.452,head,0.0906575
h_sv969,396.679,head,0.0906575
h_sv978,351.904,head,0.0906575
h_sv991,216.722,head,0.0906575
h_sv994,375.809,head,0.0906575
h_u1730,130.99,head,0.0906575
h_u1936,319.042,head,0.0906575
h_u2053,298.405,head,0.0906575
h_u2084,99.6445,head,0.0906575
h_u2243,304.784,head,0.0906575
h_u2279,109.901,head,0.0906575
h_u2441,354.803,head,0.0906575
h_u2686,128.806,head,0.0906575
h_u2744,167.224,head,0.0906575
h_u2969,193.44,head,0.0906575
h_u2982,335.642,head,0.0906575
h_u3288,134.571,head,0.0906575
h_u3433,304.306,head,0.0906575
h_u3717,115.374,head,0.0906575
h_u3741,419.974,head,0.0906575
h_u4315,334.141,head,0.0906575
h_u4328,362.726,head,0.0906575
h_u4724,319.955,head,0.0906575
h_u4825,339.185,head,0.0906575
h_u4851,347.515,head,0.0906575
h_u5000,410.821,head,0.0906575
h_u5083,343.52,head,0.0906575
h_u5100,359.014,head,0.0906575
h_u5180,359.014,head,0.0906575
h_u5326,168.122,head,0.0906575
h_u5393,395.358,head,0.0906575
h_u5438,311.396,head,0.0906575
h_u5567,305.536,head,0.0906575
h_u5597,310.972,head,0.0906575
h_u5599,304.648,head,0.0906575
h_u5600,305.113,head,0.0906575
h_u5601,315.54,head,0.0906575
h_u5668,285.907,head,0.0906575
h_u5669,368.229,head,0.0906575
h_u5770,326.092,head,0.0906575
h_u5850,438.594,head,0.0906575
h_u5868,302.285,head,0.0906575
h_u5908,359.062,head,0.0906575
h_u5909,346.789,head,0.0906575
h_u5978,331.95,head,0.0906575
h_u7084,82.434,head,0.0906575
h_u7172,318.994,head,0.0906575
h_u7190,188.889,head,0.0906575
h_u7274,321.916,head,0.0906575
h_u7411,339.752,head,0.0906575
h_u7452,325.291,head,0.0906575
h_u7509,136.966,head,0.0906575
