iteration,total_runs,obs_realization,par_realization,flux,head,budget,land_surface
0,500,281,281,16879.2,4420.58,0,9212.14
0,500,282,282,16535.1,4867.5,0,12294.1
0,500,283,283,6370.61,3982.73,0,8902.42
0,500,284,284,6448.63,6216.55,0,16883
0,500,285,285,10981.6,6225.98,0,16982.9
0,500,286,286,12257,4850.96,0,9995.61
0,500,287,287,13746.2,5841.98,0,14591
0,500,288,288,4044.54,11219.4,0,70826.8
0,500,289,289,7772.42,5496.65,0,13782.7
0,500,290,290,12549.9,4175.52,0,8687.33
0,500,291,291,15552.1,4270.6,0,8842.73
0,500,292,292,22493.2,4995.06,0,14019.8
0,500,293,293,4650.68,11517.4,0,58692.3
0,500,294,294,3912.34,3707.13,0,8214.63
0,500,295,295,11252.7,10026,0,72845.5
0,500,296,296,16124.2,4940.11,0,9953.75
0,500,297,297,13388.7,3853.99,0,8541.38
0,500,298,298,6800.79,14214.3,0,87365.6
0,500,299,299,12005.7,6236.03,0,17035.7
0,500,300,300,9437.12,20549.5,0,183875
0,500,302,302,9823.59,7979.38,0,39400.2
0,500,303,303,5537.46,4980.14,0,11506.7
0,500,304,304,4213.08,3950.68,0,8364.65
0,500,305,305,6649.91,4301.7,0,9339.09
0,500,306,306,12317.2,6378.65,0,18074.6
0,500,307,307,11531.9,10436.3,0,46616.5
0,500,308,308,2489.72,13707.4,0,84534.4
0,500,309,309,7893.28,6630.49,0,18475.8
0,500,310,310,5158.89,12485.5,0,58568.1
0,500,311,311,11348.5,6269.26,0,16755.4
0,500,312,312,16889.9,4779.41,0,10892.4
0,500,313,313,2248.99,3867.37,0,8283.96
0,500,314,314,11611.2,8877.2,0,35745.7
0,500,315,315,16740.7,8191.11,0,28713.1
0,500,316,316,1573.28,4769.05,0,11064.5
0,500,317,317,3727.95,3822.14,0,8933
0,500,318,318,13361,3890.42,0,8959.63
0,500,319,319,3455.67,3928.61,0,8683.19
0,500,320,320,6982.42,3944.44,0,8157.45
0,500,321,321,13796.8,3918.62,0,8566.47
0,500,322,322,8917.68,9056.46,0,38233.4
0,500,323,323,3132.4,10748.7,0,49766.1
0,500,324,324,5422.58,13551.9,0,77729.6
0,500,325,325,7779.84,4888.67,0,9839.47
0,500,326,326,12136.8,12705.8,0,64417.1
0,500,327,327,7134.96,4042.64,0,9018.72
0,500,329,329,8058.19,6171.58,0,15854.3
0,500,330,330,6341.7,5672.93,0,12259.1
0,500,331,331,19653.2,5557.59,0,14198.6
0,500,332,332,7450.02,4175.54,0,9179.03
0,500,333,333,5409.25,6144.46,0,15985.1
0,500,334,334,18081.7,4860.28,0,10375
0,500,335,335,7792.94,4410.05,0,9121.26
0,500,336,336,5196.77,4579.25,0,9633.44
0,500,337,337,4734.46,12688.1,0,66621.5
0,500,338,338,6788.05,3982.45,0,8585.21
0,500,339,339,11144.6,3913.41,0,8150.44
0,500,340,340,8504.99,5362.35,0,12367.5
0,500,341,341,7677.59,9405.17,0,38680.6
0,500,342,342,4625.32,13362.9,0,101810
0,500,343,343,4938.97,3760.14,0,8117.32
0,500,344,344,13751.8,4501.64,0,9040.11
0,500,345,345,11490.6,3632.72,0,8315.78
0,500,346,346,7345.87,10115.5,0,41808.8
0,500,347,347,5390.41,5515.57,0,15465.1
0,500,348,348,11646.2,10657.8,0,48199.8
0,500,349,349,9346.35,4299.49,0,8295.29
0,500,350,350,8072.04,14657.7,0,103995
0,500,351,351,7552.31,4116.42,0,8606.33
0,500,352,352,9720.66,15479.3,0,126616
0,500,353,353,3920.38,3800.56,0,8007.39
0,500,354,354,6324.24,3771.73,0,8481.09
0,500,355,355,11202,15860.7,0,94373.5
0,500,356,356,4452.43,3698.56,0,7716.75
0,500,357,357,7257.84,4102.74,0,8465.98
0,500,358,358,15238.1,11459.9,0,53882.5
0,500,359,359,3226.08,4055.43,0,8618.8
0,500,360,360,5281.69,8263.08,0,32619.5
0,500,361,361,2573.15,7673.54,0,28075
0,500,362,362,8067.13,4417.86,0,8841.56
0,500,363,363,6480.22,6902.68,0,18912.9
0,500,364,364,5365.97,9777.82,0,44318.9
0,500,365,365,10175.3,5467.05,0,12837
0,500,366,366,4575.07,4127.37,0,9274.06
0,500,367,367,16169.3,6355.89,0,15886
0,500,368,368,9346.6,4091.59,0,9277.32
0,500,369,369,10712.2,4031.43,0,8163.36
0,500,370,370,10775.6,7985.59,0,27065
0,500,371,371,13652.1,4109.52,0,8720.55
0,500,372,372,8131.41,6269.88,0,17065.1
0,500,373,373,9628.19,9384.69,0,39354.4
0,500,374,374,13901,5057.44,0,11054.4
0,500,375,375,7897.52,3883.01,0,7292.33
0,500,376,376,3985,4606.35,0,9949.93
0,500,377,377,10990.5,12084.5,0,51532.9
0,500,378,378,8040.54,11681.4,0,72904
0,500,379,379,10073,5652.25,0,14505.6
0,500,380,380,5574.35,13811.1,0,89504.6
0,500,381,381,14900.5,4400.6,0,9530.91
0,500,382,382,22693.8,7333.15,0,23993.6
0,500,383,383,12498.3,9797.28,0,37984.3
0,500,384,384,2002.55,7056.74,0,20202.7
0,500,385,385,12805.1,6319.9,0,18781.6
0,500,386,386,16337.9,9803.72,0,34910.4
0,500,387,387,10545.6,4283.01,0,8655.48
0,500,388,388,11120.3,4150.18,0,8249.39
0,500,389,389,13697.7,12438.3,0,94787.6
0,500,390,390,14406,13892.6,0,89625.7
0,500,391,391,23250.4,12184.1,0,72902.3
0,500,392,392,9612.79,3848,0,7854.53
0,500,393,393,8026.14,4514.71,0,11195.2
0,500,394,394,7476.95,22448.6,0,166293
0,500,395,395,7257.02,5577.42,0,12988.9
0,500,396,396,11512,4775.03,0,10270.7
0,500,397,397,9125.67,6971.76,0,21562.1
0,500,398,398,3848.62,3963.9,0,7859.53
0,500,399,399,10072.9,24274.2,0,191172
0,500,400,400,5668.56,4496.05,0,9528.75
0,500,401,401,7423.36,5273.06,0,12533.3
0,500,402,402,6186.48,6450.44,0,18843.3
0,500,403,403,11295.4,3959.83,0,8003.72
0,500,404,404,17262.2,8140.76,0,29132.4
0,500,405,405,12015.8,11283.3,0,52371.5
0,500,406,406,4386.79,3918.97,0,8814.17
0,500,407,407,8817.67,4223.92,0,9044.01
0,500,408,408,20076.8,4339.51,0,9463.38
0,500,409,409,6046.44,19263.3,0,129409
0,500,410,410,21031.9,5018.58,0,12479.7
0,500,411,411,9443.77,5861.15,0,16123.3
0,500,412,412,2274.74,5055.01,0,11082.9
0,500,413,413,8484.33,14186.9,0,94346.1
0,500,414,414,4478.19,3908.92,0,8483.09
0,500,415,415,2787.54,4695.05,0,10091.7
0,500,416,416,2232.72,4855.51,0,10505.2
0,500,417,417,5607.76,8158.85,0,27794
0,500,418,418,8917.14,13604.4,0,71930.4
0,500,419,419,9246.88,3805.33,0,8143.03
0,500,420,420,10226.5,4348.94,0,9158.6
0,500,421,421,2548.38,5095.98,0,10984
0,500,422,422,3426.54,4264.19,0,9072.89
0,500,423,423,7334.26,5462.72,0,13957
0,500,424,424,2329.96,10753,0,50373.3
0,500,425,425,14096.2,5487.43,0,14378.5
0,500,426,426,1888.25,5276.08,0,11359.5
0,500,427,427,9614.95,11064.3,0,50244.3
0,500,428,428,23706.7,5193.65,0,11796.9
0,500,429,429,10366.2,5874.61,0,15491.9
0,500,430,430,3415.81,6050.65,0,19718.9
0,500,431,431,9854.95,21402.9,0,134992
0,500,432,432,5834.24,4089.33,0,8644.21
0,500,433,433,11105.9,12399.7,0,67663.1
0,500,434,434,20519.6,14496.8,0,81104.2
0,500,435,435,12882.2,11072.5,0,54563.6
0,500,436,436,3320.85,4986.61,0,11430
0,500,437,437,26559.1,8036.92,0,26866.1
0,500,438,438,8215.64,4354.24,0,10204.5
0,500,439,439,13496.2,5740.89,0,14696.9
0,500,440,440,11528.1,4260.87,0,8980.26
0,500,441,441,9526.31,7419.29,0,26274.1
0,500,442,442,16909.8,4383.46,0,9894.54
0,500,443,443,16903.7,4567.51,0,10008.5
0,500,444,444,9585.72,10180.8,0,52838.9
0,500,445,445,5230.96,4319.87,0,9594.83
0,500,446,446,10016,4126.66,0,8605.05
0,500,447,447,9230.09,3768.03,0,7761
0,500,448,448,6432.43,5365.1,0,11718.6
0,500,450,450,3362.42,6631.41,0,18733.3
0,500,451,451,8036.1,11919.6,0,69473.3
0,500,452,452,22700.8,4317.71,0,10120.9
0,500,453,453,21965.2,6534.8,0,19436
0,500,454,454,6011.45,6286.24,0,16288
0,500,455,455,2404.85,10790.7,0,51109.8
0,500,457,457,6559.37,10594.7,0,45899
0,500,458,458,6129.76,6648.7,0,19681.9
0,500,459,459,5898.47,10326.6,0,48662.9
0,500,460,460,7020.62,7457.68,0,23229.2
0,500,461,461,22840.1,18678.9,0,106150
0,500,463,463,1716.75,5984.8,0,15955.8
0,500,464,464,5013.7,3867.16,0,8717.67
0,500,465,465,16819.1,4043.14,0,7618.92
0,500,466,466,3508.88,4057.42,0,10012.3
0,500,467,467,18143.8,7772.32,0,24099.4
0,500,468,468,12315,4685.91,0,10912.3
0,500,469,469,2561.24,9417.28,0,42539.8
0,500,470,470,19281.5,6225.79,0,15375.8
0,500,471,471,5135.01,3972.06,0,8895.6
0,500,472,472,10290.6,5316.06,0,11679.9
0,500,473,473,8778.3,4295.07,0,9212.22
0,500,474,474,6293.33,4164.57,0,8075.97
0,500,475,475,9743.14,6023.27,0,16164.3
0,500,476,476,17553.9,4123.23,0,8982.13
0,500,477,477,8967.97,12618.5,0,78788.7
0,500,478,478,1573.92,19179.7,0,115643
0,500,479,479,6332.65,5794.74,0,15093.7
0,500,480,480,4110.07,4157.07,0,8906.76
0,500,481,481,5929.14,7613.1,0,24524
0,500,482,482,3201.6,22433.2,0,176408
0,500,483,483,6379.46,3897.27,0,7799.13
0,500,484,484,8069.28,6331.68,0,17390.9
0,500,485,485,15805.2,6141.66,0,16115.2
0,500,486,486,11179.3,9633.27,0,44742.4
0,500,487,487,14883.5,8245.06,0,23730.5
0,500,488,488,3102.5,8568.73,0,30273.1
0,500,489,489,2152.31,4846.06,0,10776.4
0,500,490,490,18856.7,9322.63,0,35099.9
0,500,491,491,22371,4108.31,0,8727.55
0,500,492,492,3417.1,14761.4,0,112166
0,500,493,493,10956.5,7525.39,0,23275
0,500,494,494,6254.1,3978.26,0,8234.1
0,500,495,495,12394.1,5200.62,0,12226.2
0,500,496,496,23062.5,4798.36,0,10615.2
0,500,497,497,5769.69,5174.41,0,10936
0,500,498,498,18138.8,6516.91,0,19147.3
0,500,base,base,8846.25,5897.5,0,14743.7
