name,obs_mean,obs_std,obs_min,obs_max,obs_stat_min,obs_stat_max,sim_mean,sim_std,sim_min,sim_max,sim_stat_min,sim_stat_max,distance
H_SV3596,361.59,1.67994,355.596,366.362,356.55,366.629,371.978,0.401463,370.819,373.381,370.773,373.182,4.14402
H_SV3639,394.026,1.66594,389.314,399.117,389.028,399.024,435.608,4.34935,425.874,443.78,422.56,448.656,23.536
H_SV3654,240.988,1.61207,235.725,245.546,236.152,245.824,226.294,2.19053,221.104,231.6,219.722,232.866,3.28642
H_SV3675,332.471,1.58784,328.09,337.023,327.707,337.234,316.467,1.93947,311.877,322.519,310.648,322.285,5.42204
H_SV3710,295.555,1.70409,290.577,301.373,290.443,300.668,351.779,0.378934,350.759,352.703,350.642,352.916,49.9743
H_SV3854,368.129,1.60897,362.894,372.833,363.302,372.955,381.375,0.489955,380.218,383.144,379.905,382.844,6.94924
H_SV3903,422.917,1.67349,417.953,428.175,417.897,427.938,398.025,2.28755,391.986,404.129,391.162,404.888,13.0092
H_SV3943,276.325,1.67585,270.856,280.87,271.297,281.353,237.492,5.3785,228.971,253.12,221.356,253.627,17.6704
H_SV3980,439.56,1.66045,434.264,444.131,434.579,444.542,419.777,1.15659,418.449,424.184,416.307,423.247,11.3321
H_SV3996,379.939,1.63276,374.308,384.625,375.041,384.837,363.533,3.43332,359.245,374.813,353.233,373.833,1.20782
H_SV4131,347.241,1.77171,342.379,352.785,341.926,352.556,326.878,3.36129,321.361,336.371,316.794,336.962,4.96427
H_SV4222,328.701,1.71797,324.666,333.216,323.547,333.855,372.005,0.400983,370.881,373.408,370.802,373.208,36.948
H_SV4247,446.546,1.64574,441.353,451.25,441.609,451.484,432.207,2.19875,429.815,439.527,425.611,438.803,2.80569
H_SV4318,265.797,1.65685,260.678,270.391,260.826,270.768,280.786,0.773901,279.744,283.638,278.464,283.108,7.69687
H_SV4353,426.893,1.69646,421.949,432.097,421.803,431.982,446.524,1.96863,442.512,452.084,440.618,452.43,8.63596
H_SV4368,349.374,1.61707,344.361,355.195,344.523,354.225,371.203,0.386443,370.315,372.402,370.044,372.362,15.8186
H_SV4370,359.418,1.71486,354.751,363.857,354.273,364.562,386.853,2.84975,380.492,392.741,378.303,395.402,13.741
H_SV4413,312.501,1.61895,307.666,316.758,307.644,317.358,286.769,0.712296,285.964,289.759,284.632,288.906,18.7383
H_SV4417,402.54,1.63836,396.439,407.311,397.625,407.455,452.818,4.60436,447.737,467.102,439.005,466.631,31.5497
H_SV4460,413.53,1.67503,408.319,418.779,408.505,418.555,444.466,6.47539,432.345,461.225,425.04,463.893,6.48523
H_SV4509,276.197,1.64512,270.288,282.356,271.262,281.132,267.14,0.905914,266.12,270.587,264.422,269.858,1.40395
H_SV4615,442.785,1.57422,438.334,448.003,438.063,447.508,450.48,0.594755,448.814,452.573,448.696,452.264,1.1878
H_SV4651,382.842,1.70382,378.029,387.803,377.73,387.953,398.338,0.710513,396.741,400.798,396.206,400.469,8.25296
H_SV700,391.945,1.63805,387.536,396.597,387.031,396.859,422.215,0.572458,421.308,424.192,420.497,423.932,23.6383
H_SV722,328.22,1.60656,323.781,332.84,323.4,333.039,359.263,4.45355,351.748,371.317,345.902,372.623,12.8628
H_SV740,335.938,1.72794,330.553,340.824,330.754,341.122,316.934,2.30177,313.926,324.249,310.028,323.839,6.91509
H_SV759,395.106,1.63756,390.455,399.18,390.194,400.019,407.225,2.08992,404.098,412.525,400.955,413.495,0.936128
H_SV760,267.997,1.63329,262.968,272.517,263.097,272.897,338.361,1.81683,334.884,344.527,332.911,343.812,60.0142
H_SV783,301.945,1.6087,297.701,306.135,297.119,306.771,343.734,5.66789,333.402,358.267,326.73,360.738,19.9594
H_SV793,451.49,1.58685,447.064,455.454,446.73,456.251,460.351,1.14588,456.896,463.695,456.913,463.788,0.662199
