iteration,total_runs,obs_realization,par_realization,flux,head,budget,land_surface
0,488,232,232,9965.57,8142.53,0,30358.4
0,488,233,233,2910.19,2737.01,0,10599.7
0,488,234,234,4556.03,3231.76,0,13771.8
0,488,235,235,1262.29,3555.3,0,3209.08
0,488,236,236,2113.41,84826.4,0,826241
0,488,238,238,6081.43,2964.42,0,4261.66
0,488,239,239,11874.1,2721.19,0,6127.86
0,488,240,240,4927.19,7893.99,0,38608.3
0,488,241,241,2213.1,2868.35,0,4970.13
0,488,242,242,4148.01,3291.18,0,14076.4
0,488,244,244,2704.46,3496.85,0,14331.9
0,488,245,245,1638.27,2677.39,0,6686.78
0,488,246,246,3263.02,2648.01,0,7569.12
0,488,247,247,9905.08,3609.69,0,15310.7
0,488,248,248,10013.6,3611.97,0,15394.2
0,488,249,249,4769.75,2637.35,0,8407.54
0,488,250,250,3425.69,2915.64,0,4329.16
0,488,251,251,3727.1,3245.38,0,13494.1
0,488,252,252,4076.6,4332.67,0,6353.76
0,488,253,253,1763.29,2748.48,0,6076.84
0,488,254,254,4013.6,3381.46,0,3187.89
0,488,255,255,6476.42,2652.8,0,6385.25
0,488,256,256,6704.3,2703.17,0,6185.41
0,488,257,257,6130.3,2631.66,0,8906.15
0,488,258,258,8992.1,73984,0,986128
0,488,259,259,1253.6,7498.66,0,30518.4
0,488,261,261,4175.57,6331.26,0,34080.3
0,488,262,262,4472.32,5610.03,0,10900.4
0,488,263,263,5729.72,2586.92,0,8736.59
0,488,264,264,4638.5,2644.04,0,9901.46
0,488,265,265,6546.69,4121.34,0,4137.81
0,488,266,266,2016.8,2906.19,0,11823.3
0,488,268,268,3322.13,2690.86,0,6269.11
0,488,269,269,8386.5,2698.39,0,6710.21
0,488,270,270,2419.2,2782.31,0,11165.7
0,488,271,271,7732.75,3225.97,0,3514.18
0,488,272,272,3070.76,2688.38,0,10718.2
0,488,273,273,8228.85,3133.8,0,3885.89
0,488,274,274,4900.41,2940.88,0,4537.55
0,488,275,275,1358.7,2658.05,0,8763.34
0,488,276,276,11141,33328.8,0,197725
0,488,277,277,2567.48,2676.9,0,6440.14
0,488,278,278,2699.74,2638.8,0,9105.3
0,488,279,279,2821.93,2612.04,0,9368.76
0,488,280,280,4719.49,2696.14,0,6303.28
0,488,281,281,6325.06,2751.09,0,10645.3
0,488,282,282,7124.79,2713.91,0,10739.6
0,488,283,283,3114.33,3067.83,0,12997.5
0,488,284,284,6385.37,2717.5,0,5801.95
0,488,285,285,7987.45,2721.13,0,5921.45
0,488,286,286,3823.22,2691.51,0,9971.79
0,488,287,287,5340.96,2633.96,0,8287.94
0,488,288,288,5515.51,5294.71,0,19087.2
0,488,289,289,4946.03,2630.09,0,7684.9
0,488,290,290,5147.04,2806.93,0,11096
0,488,291,291,11257.4,3603.47,0,12955.2
0,488,292,292,10903.6,3326.02,0,9409.54
0,488,293,293,2926.99,5554.75,0,14206.2
0,488,294,294,7625.22,3619.59,0,15244.3
0,488,295,295,5036.12,4042.19,0,10724.2
0,488,296,296,6785.65,2685.9,0,9868.98
0,488,297,297,6738.67,3021.47,0,13108.1
0,488,298,298,2855.21,7667.94,0,37344.6
0,488,299,299,5022.9,2656.97,0,6843.12
0,488,300,300,3633.75,39850.8,0,648536
0,488,302,302,3737.76,3175.03,0,3587.17
0,488,303,303,6194.23,2674.8,0,8162.73
0,488,304,304,1550.55,2883.96,0,12117.8
0,488,305,305,2336.88,2759.02,0,10902.9
0,488,306,306,8024.92,2749.93,0,5678.72
0,488,307,307,7661.45,4395.79,0,4818.25
0,488,308,308,1073.16,12996.5,0,146790
0,488,309,309,4696.68,2757.09,0,5712.56
0,488,310,310,3248.09,5536.22,0,7787.94
0,488,311,311,6414.7,2753.31,0,5871.04
0,488,312,312,8431.57,2806.64,0,11209.2
0,488,313,313,916.445,2961.87,0,12157.9
0,488,314,314,3791.25,3310.86,0,3110.58
0,488,315,315,8688.93,3005.69,0,4252.84
0,488,316,316,537.262,2617.46,0,8193.34
0,488,317,317,899.325,2853.81,0,12281.9
0,488,318,318,7191.66,3172.2,0,13460.5
0,488,319,319,1874.97,3162.07,0,13193.1
